TIC ID,RA,Dec
589826,71.60728997,-28.08744597
681678,73.87575427,-25.72775693
767526,74.63842264,-28.88774074
1003831,130.2951647,-16.03628
1030004,33.86796345,-9.466526678
1033135,130.4305663,-15.9433813
1034389,34.24601341,-6.42211706
1038216,130.5408848,-11.96600496
1098494,35.67685397,-10.20229451
1103432,130.5814567,-17.18943511
1167538,70.99758851,-31.90650096
1191321,135.9375012,-17.49660805
1218962,71.45694048,-34.00500145
1228170,137.1855111,-16.27732195
1233421,71.95657153,-30.0203713
1251436,72.29900211,-34.31183556
1308855,72.86756014,-34.90627786
1359495,139.9432629,-11.97484935
1398498,74.4360698,-33.06894194
1399933,140.2312406,-15.61782544
1441682,74.83004627,-32.23918332
1446147,146.8086066,-17.20589882
1449640,75.17161407,-35.20261053
1449756,75.17487214,-34.81589517
1520948,75.53112966,-31.3489791
1521078,75.59501921,-31.77133392
1525480,156.5277997,-17.26265422
1528696,75.79542865,-30.39936645
1530056,156.5226092,-16.8362886
1604036,131.3365253,-2.601053665
1604040,131.335233,-2.60118912
1628071,188.017609,-16.1959946
1647071,131.5103148,-2.048653536
1678825,131.8124369,-1.897039056
1738861,132.6330113,-27.70984126
1740238,132.5901544,-28.61761865
1818589,132.9070142,-26.2062482
2226189,133.8814987,-27.68185844
2758565,356.2831448,-17.44919012
2760219,356.3751297,-16.11410082
2760710,356.5276987,-16.69124911
2761023,356.4682912,-14.75482344
2961372,138.3575968,-38.61649031
3233467,138.7382131,-37.60242853
3233861,138.8298373,-37.41059784
3296473,138.9378309,-37.41314234
3296905,138.9641626,-37.62928396
3298844,138.9029505,-38.56994176
3356565,139.1131899,-38.66013949
3448013,139.237817,-39.40153511
3649916,245.0608998,-39.63001791
3650784,245.1359054,-39.43034274
3728481,245.2244844,-38.69016139
3840990,139.8198615,-39.6882396
3962869,12.53161911,-10.64432912
3988388,12.9054795,-8.818342507
3995093,140.1236247,-37.58168915
4011607,79.89702974,-1.411912005
4069670,80.11006066,-5.367544903
4070275,80.06664942,-4.239436749
4102368,140.3283937,-39.32496982
4116565,80.38268192,-0.416488017
4117551,80.44061921,-0.382475135
4204015,80.83617864,-4.57066474
4207261,80.92628562,-0.159818164
4207747,80.9638742,-0.866621902
4254645,81.11924031,-2.397138741
4255638,81.12042149,-0.891354944
4294779,81.31267187,-0.770744971
4295853,81.3795068,-0.5439109
4346726,140.652382,-39.77528477
4353169,81.50984618,-5.518503713
4392712,245.7817205,-37.42457591
4422468,140.9369261,-37.75690054
4509067,141.0678556,-39.42550309
4598935,141.2200194,-39.03090481
4729001,141.4247533,-41.76281752
4734401,141.4145263,-40.31411333
4847760,141.6185807,-40.50170908
4959676,141.6994186,-38.6267102
5024743,142.1072604,-38.94741286
5165416,142.3173896,-38.40354086
5224772,142.3301061,-37.47152696
5227087,142.3113315,-35.95133765
5295337,142.6745125,-40.46663923
5364106,139.2311608,-20.67629302
5485318,149.7595139,-22.94674386
5506063,153.1581736,-19.15304082
5508565,155.3994092,-22.52850753
5529673,155.5539057,-19.86657089
5546608,143.0803236,-40.64933702
5622007,143.2820013,-39.12907188
5709314,143.5957406,-41.52580081
5851342,143.9122057,-39.90351629
5868840,187.5726908,-23.69641813
5868998,187.7821538,-23.77356389
5911169,188.1366804,-21.21211653
5966772,193.3984551,-23.1194754
5970086,193.625862,-20.09802812
5972036,144.0742011,-40.62691211
6402381,283.6351687,-49.87907409
6404965,283.6650704,-47.99383257
6524232,284.1334784,-48.99225741
6663331,284.3996885,-49.13848775
6670156,284.6157027,-52.93863285
6725846,284.7207919,-48.50590907
6764171,285.1067687,-50.23547741
6898572,285.4498589,-50.06166592
7014733,285.8639813,-50.3166338
7015571,285.98983,-51.01860477
7084946,286.1664785,-48.40390253
7088246,286.366701,-50.06734584
7146534,4.677335911,-43.23556941
7147484,4.835450239,-46.4990327
7219876,32.28871863,-43.51659492
7222091,32.52002534,-43.81557372
7244910,32.97627134,-47.17036667
7321572,80.15393488,-43.53395318
7413227,212.6477947,-27.99306094
7418047,81.06726251,-43.60882666
7420831,81.23156957,-44.22568782
7422496,81.34915832,-44.43080985
7439480,212.9294885,-29.97504681
7439481,212.9291333,-29.97408491
7440160,212.8932638,-28.88553102
7470978,213.1917623,-27.26118559
7475132,246.5943897,-53.43236452
7549361,213.3052376,-26.61230912
7624182,64.31142478,-38.84416883
7690180,65.44026849,-37.7818416
7737163,66.41819663,-39.8359444
7807040,67.57589625,-38.274638
7904580,133.2073981,-1.606551859
7976072,133.4842661,-4.925745763
8511113,235.6709236,-34.71040961
9277748,190.8045273,-24.99051765
9331851,191.002213,-28.32395737
9344899,72.79389294,-8.447338601
9385460,191.7028269,-24.42738019
9436181,191.9735221,-24.85165816
9436243,191.9721656,-25.0153479
9438270,191.9250153,-29.79509384
9439380,192.1094057,-27.59738414
9561716,193.1846747,-26.00350144
9727392,358.4447305,-10.8849728
10784960,15.41101957,-16.26557216
10803442,20.32298277,-6.159522512
10837041,20.9229701,-8.701384149
10838226,21.00585457,-8.183256497
10838265,21.01057938,-8.007414604
10839729,25.436837,-11.324704
10879648,26.18198571,-6.766163979
11194055,84.47243768,-4.814034488
11286198,84.68650732,-2.600077364
11295159,84.87979386,-3.564702395
11310083,145.5600689,-23.91557058
11359902,85.15540079,-2.825235346
11360636,85.18986374,-1.943236157
11400562,85.21130946,-1.128785189
11400909,85.23487678,-1.507182421
11404009,85.24034002,-3.843149163
11411101,85.41807539,-2.896454158
11421324,146.050398,-27.76948749
11521555,146.4472898,-25.45770474
11559798,149.7762663,-23.95076955
11561667,149.8237866,-27.39278175
11688606,22.42840403,-25.61775532
11927677,146.1502889,-30.10474445
11936042,146.1145575,-35.10443919
11972111,146.3416956,-30.20274886
12061971,146.716444,-35.20651379
12377940,1.084655391,-29.26882332
12421862,2.268159921,-27.12213329
12422003,2.337357392,-27.98798384
12423815,2.568740698,-26.28239659
12433730,2.893419922,-27.79972174
12470194,3.426016578,-26.02235079
12470241,3.43491423,-26.28496306
12880347,4.495287693,-13.45564131
12931537,345.3307707,-28.85396108
12970307,345.9089136,-26.81329216
13021029,75.29966129,-26.05415743
13023378,347.0535963,-28.00783779
13023585,347.0877317,-28.82369329
13023738,347.0847927,-29.5903195
13059308,347.4359609,-28.08857026
13061590,75.54092384,-26.27502577
13065910,347.6941428,-29.52514482
13071322,75.9719662,-24.3881463
13094804,76.317481,-26.15239077
