Sector,Orbit,Start of Orbit,End of Orbit
1,9,7/25/18 19:35,8/8/18 0:40
1,10,8/9/18 3:50,8/22/18 16:25
2,11,8/23/18 14:35,9/5/18 15:50
2,12,9/7/18 2:25,9/20/18 0:30
3,13,9/21/18 5:25,10/3/18 22:45
3,14,10/5/18 4:00,10/17/18 21:00
4,15,10/19/18 9:45,11/1/18 0:25
4,16,11/2/18 1:20,11/14/18 8:35
5,17,11/15/18 11:35,11/27/18 16:55
5,18,11/29/18 1:20,12/11/18 19:05
6,19,12/12/18 17:05,12/24/18 12:40
6,20,12/25/18 14:40,1/6/19 13:15
7,21,1/8/19 3:10,1/19/19 13:05
7,22,1/21/19 4:55,2/1/19 14:15
8,23,2/2/19 20:20,2/14/19 13:45
8,24,2/15/19 18:20,2/27/19 12:10
9,25,2/28/19 17:20,3/13/19 1:10
9,26,3/14/19 5:30,3/25/19 23:35
10,27,3/26/19 22:30,4/8/19 7:00
10,28,4/9/19 6:25,4/22/19 4:30
11,29,4/23/19 6:40,5/6/19 4:50
11,30,5/7/19 6:45,5/20/19 9:35
12,31,5/21/19 10:55,6/4/19 12:05
12,32,6/5/19 12:55,6/18/19 9:35
13,33,6/19/19 10:05,7/3/19 4:45
13,34,7/4/19 3:00,7/17/19 20:45
14,35,7/18/19 20:30,7/31/19 21:30
14,36,8/1/19 20:15,8/14/19 17:05
15,37,8/15/19 20:45,8/28/19 8:45
15,38,8/29/19 10:35,9/10/19 22:00
16,39,9/12/19 3:40,9/23/19 20:45
16,40,9/25/19 3:45,10/6/19 19:50
17,41,10/8/19 4:25,10/19/19 19:15
17,42,10/21/19 5:30,11/2/19 4:50
18,43,11/3/19 3:45,11/14/19 22:45
18,44,11/15/19 22:45,11/27/19 12:55
19,45,11/28/19 14:00,12/10/19 12:00
19,46,12/11/19 11:10,12/23/19 15:45
20,47,12/25/19 0:05,1/6/20 8:45
20,48,1/7/20 21:30,1/20/20 7:55
21,49,1/21/20 22:25,2/4/20 12:00
21,50,2/5/20 10:10,2/18/20 6:55
22,51,2/19/20 19:20,3/4/20 0:15
22,52,3/5/20 1:45,3/18/20 0:00
23,53,3/19/20 14:30,4/1/20 9:05
23,54,4/2/20 8:05,4/15/20 9:10
24,55,4/16/20 7:05,4/28/20 20:30
24,56,4/29/20 18:30,5/12/20 18:55
25,57,5/14/20 3:10,5/26/20 3:25
25,58,5/27/20 10:00,6/8/20 19:30
26,59,6/9/20 18:25,6/21/20 16:45
26,60,6/22/20 14:45,7/4/20 15:25
27,61,7/5/20 18:40,7/17/20 15:15
27,62,7/18/20 15:40,7/30/20 3:35
28,63,7/31/20 8:25,8/12/20 11:15
28,64,8/13/20 15:45,8/25/20 14:30
29,65,8/26/20 17:45,9/8/20 21:10
29,66,9/9/20 19:50,9/21/20 22:35
30,67,9/23/20 9:15,10/6/20 15:30
30,68,10/7/20 17:00,10/20/20 17:30
31,69,10/22/20 0:20,11/3/20 23:05
31,70,11/5/20 8:40,11/18/20 12:50
32,71,11/19/20 13:45,12/2/20 10:45
32,72,12/3/20 10:40,12/16/20 17:45
33,73,12/18/20 5:35,12/30/20 8:55
