# TESS Program G07025

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, and 50 at 20 second cadence. These observations will provide a long-lasting legacy dataset unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 084 targets observed (2 min: 160, 20 s: 4)
186400004,18.8842,37.6265,17.71,G07025
381541092,17.99,35.2901,17.8,G07025
600072683,14.6024,28.5511,19.33,G07025
600193266,13.0718,31.994,20.29,G07025
600203076,12.2078,33.4758,19.93,G07025
600214073,10.1007,33.6925,18.02,G07025
600215751,11.2033,33.0091,18.22,G07025
600338542,8.2666,38.0181,18.02,G07025
80532925,21.4141,32.3856,16.55,G07025;G07145
2054042062,357.1798,25.0472,19.89,G07025
2054064103,357.882,27.1521,20.1,G07025
2054067935,358.3051,27.7005,18.83,G07025
2054116219,354.7028,28.3319,17.95,G07025
2054129765,357.7167,28.9832,18.78,G07025;G07145
306066903,3.9095,26.6157,17.27,G07025
432280211,355.0178,30.2965,13.86,G07025
440666925,7.5241,26.2906,14.7,G07025
57918836,4.7372,34.9123,16.68,G07025
611614472,6.6543,24.4877,19.02,G07025
611802254,7.7474,30.2762,19.01,G07025
611815754,7.1772,31.3054,18.67,G07025
611844282,1.4947,29.6844,19.29,G07025
611846021,2.2956,30.0523,18.86,G07025
611899958,3.4151,33.3564,18.97,G07025
150817459,3.2864,21.3533,13.91,G07025
150950088,4.9582,21.9478,12.2,G07025
242701650,7.9658,20.3475,17.71,G07025;G07145
435876711,12.9704,20.6715,17.4,G07025
468344046,6.155,11.103,15.18,G07025
58765188,6.2958,12.2865,17.39,G07084;G07025;G07092
611188886,5.7218,13.678,17.51,G07025
611594670,9.1678,23.142,18.13,G07025
18250189,22.9995,29.8228,15.2,G07025
353851691,24.7328,24.4942,15.35,G07025
620517087,23.2219,24.2474,18.71,G07025
630636556,20.0341,18.9544,19.94,G07025
2045472050,349.8158,56.0338,17.11,G07025
2045861037,355.4468,57.5169,16.6,G07025
240672169,9.3247,52.42,17.82,G07025
26808985,355.7547,52.2418,15.17,G07025
314714161,346.6778,55.1389,16.43,G07025;20SECONDTARGET
319596417,350.9541,59.2054,18.86,G07025
403308597,5.2175,55.7044,12.62,G07025
431521404,357.2163,51.4609,15.44,G07025
431653155,358.1972,51.4474,17.73,G07025
470747364,357.8226,60.3028,16.59,G07025
603720917,4.9141,54.092,18.96,G07025
154352139,342.6373,44.9522,14.29,G07025
199296334,334.2096,46.7781,14.52,G07025
2041710325,343.1069,42.4863,19.16,G07025
2042019689,350.0932,44.7251,17.62,G07025
2044272899,347.5465,51.2531,17.75,G07025
252618727,345.9444,53.2875,14.46,G07025
25471934,351.7587,50.1202,16.25,G07025
298229800,346.156,49.4566,14.4,G07025
428063994,338.952,52.7166,14.24,G07025
67053526,342.4455,53.2888,16.76,G07025
177030613,355.8543,42.1454,17.73,G07025;G07145
177060496,356.2398,43.5229,15.14,G07025
