# TESS Program G07113

Title: TESS Photometry Of A Sample Of Sb2 Eclipsing Binaries

PI: Helminiak, Krzysztof - Copernicus Astronomical Center

Type: MINI

Summary: We intend to obtain very high precision light curves of a sample of detached eclipsing and double-lined spectroscopic (SB2) binaries, which have a large number of new and unpublished high-resolution spectra (from our own observations). In total, there are over 380 stars in the program, >170 of which are available for TESS in Cycle 7. The light curves will be combined with the precise radial velocity (RV) measurements in order to obtain accurate and precise, absolute stellar parameters.


# Sector 084 targets observed (2 min: 5, 20 s: 0)
150862582,3.9118,18.9014,8.71,G07113
65628544,359.285,55.7056,5.12,G07113
191463077,11.0476,46.2354,7.42,G07113
279605117,346.6736,70.7497,8.81,G07113
198354348,255.9706,57.3655,10.24,G07036;G07113

# Sector 085 targets observed (2 min: 11, 20 s: 2)
246971220,35.5275,22.8736,5.82,G07113;20SECONDTARGET
400940488,17.3704,68.654,8.9,G07005;G07113;G07007
50191648,40.0549,61.733,9.73,G07113
65628544,359.285,55.7056,5.12,G07113;20SECONDTARGET
191463077,11.0476,46.2354,7.42,G07113
196740034,17.8535,46.9636,10.09,G07113
240962482,18.9957,52.7777,9.75,G07113
306956190,13.9595,50.7701,9.3,G07005;G07113;G07007
279605117,346.6736,70.7497,8.81,G07113
289044378,22.5231,73.7588,9.92,G07113
198354348,255.9706,57.3655,10.24,G07036;G07113

# Sector 086 targets observed (2 min: 2, 20 s: 0)
400940488,17.3704,68.654,8.9,G07005;G07113;G07007
198354348,255.9706,57.3655,10.24,G07036;G07113

# Sector 087 targets observed (2 min: 29, 20 s: 1)
12165310,91.7538,-2.9161,8.36,G07113
42828781,96.9887,-3.6255,9.74,G07113
33194538,105.8262,-5.7376,8.82,G07113
235231077,102.8102,7.8993,8.38,G07113
284613090,109.1066,5.8147,9.59,G07005;G07113;G07007
468958374,107.6929,7.8971,10.17,G07113
291385340,94.364,11.0048,10.51,G07113
153166843,89.6218,-27.8221,10.36,G07113
299903137,97.3599,-25.2248,10.86,G07113
32702481,86.0309,-28.6105,8.92,G07113
33419790,87.4027,-21.2397,9.49,G07113
63192395,104.7255,-25.5721,9.6,G07113
63579446,105.4939,-25.5321,11.04,G07113
66602813,109.4591,-29.6056,8.7,G07113
78568736,102.8913,-22.1908,9.14,G07005;G07113;G07007
80556181,105.6956,-21.2194,10.26,G07113
35481236,101.969,-16.7157,9.97,G07113
55489734,110.5903,-11.996,8.53,G07113
78817217,103.3203,-19.5855,8.31,G07113
33737236,93.0528,-12.2629,8.4,G07113
201432628,92.5687,-33.3558,8.39,G07113
231822771,86.4549,-48.0391,10.96,G07113
260269456,94.2528,-54.6341,11.34,G07036;G07113
382067804,79.4706,-54.1014,10.01,G07113
238097136,105.3837,-49.13,10.2,G07113
349480507,110.9364,-65.0106,9.4,G07036;G07113;G07071;G07031
141268467,82.5143,-76.2487,7.71,G07036;G07113;G07071;20SECONDTARGET
33715938,61.0132,-74.4534,10.29,G07036;G07113
394230860,47.8086,-74.0442,10.09,G07113

# Sector 088 targets observed (2 min: 23, 20 s: 2)
7211118,113.7775,-9.0957,8.87,G07113
142742998,137.7927,-4.2702,9.65,G07113
347506869,133.4092,-13.6547,11.11,G07113
280526693,115.3466,2.889,10.66,G07113
455178154,124.6979,0.2835,9.04,G07113
126446153,116.0132,-27.8266,10.44,G07113
66602813,109.4591,-29.6056,8.7,G07113
146703842,124.1292,-33.244,9.31,G07113
185980914,131.1706,-34.7392,10.12,G07113
2020964,133.4586,-25.0843,8.29,G07113
386431674,127.9575,-15.4833,10.71,G07113
409797166,126.4636,-16.3797,8.94,G07113
415434817,131.093,-21.7867,10.05,G07113
415528958,131.3942,-21.967,11.62,G07113
56023695,113.0745,-14.6081,10.22,G07113
56239667,119.0548,-15.869,10.04,G07113
94037079,115.136,-10.701,10.65,G07113
82474821,124.7117,-42.7531,8.61,G07113;20SECONDTARGET
238097136,105.3837,-49.13,10.2,G07113
260269456,94.2528,-54.6341,11.34,G07036;G07113
349480507,110.9364,-65.0106,9.4,G07036;G07113;G07071;G07031
33715938,61.0132,-74.4534,10.29,G07036;G07113
141268467,82.5143,-76.2487,7.71,G07036;G07113;G07071;20SECONDTARGET
