# TESS Program G08020

Title: Understanding The Origin And Evolutionary Context Of Variability In Alpha Cygni Variables

PI: Guzik, Joyce - Los Alamos National Laboratory

Type: SMALL

Summary: This project leverages TESS s photometry to observe 75 Alpha Cygni variables luminous B- and A-type supergiants exhibiting quasi-periodic or aperiodic low-amplitude brightness variations (0.01 0.1 mag) on timescales of days to months. Ground-based observations lack the cadence, precision, and continuity to characterize the variability and detect transient phenomena. Using TESS Cycle 8 s observations for an extended 56-day sector and subsequent overlapping sectors, we will quantify light curve properties including searching for recurrent phenomena such as those reported in the prototype, Deneb. We will use TESS data in conjunction with 1-D evolution and pulsation models to investigate causes of variability and to determine interior properties and evolutionary state of these stars.


# Sector 097 targets observed (2 min: 40, 20 s: 0)
179204401,79.3231,-69.7789,10.35,G08020;G08137
179304683,79.5801,-69.1946,9.37,G08020
179307922,79.6603,-69.5387,10.32,G08020;G08137
179508685,80.3136,-69.4449,11.37,G08020;G08137
179508746,80.3434,-69.4522,10.63,G08020;G08137
179639066,80.7528,-67.1895,11.59,G08020;G08017;G08158
231743280,78.0712,-67.324,11.33,G08020;G08017
276787778,83.2546,-69.3748,11.56,G08020;G08137
276864037,83.5936,-67.0232,9.77,G08020;G08137
276864600,83.5769,-67.3038,11.15,G08020;G08017;G08137
276869010,83.5416,-68.9868,10.3,G08020
277024372,84.0188,-69.4023,10.36,G08020;G08017
277100123,83.9008,-67.3397,12.0,G08020;G08017;G08137
277173617,84.1576,-69.4927,10.96,G08020
277297046,84.6118,-69.7642,10.74,G08020;G08137
279952228,81.9837,-67.3462,10.0,G08020;G08137
294977451,72.3294,-69.4318,11.71,G08020
30106140,73.4304,-68.7148,11.04,G08020;G08017;G08137
30759304,75.4383,-70.5978,11.61,G08020;G08137
30764640,75.9412,-70.1993,11.33,G08020
30848631,75.8068,-68.5598,11.79,G08020;G08137
31017680,76.5669,-70.4932,11.53,G08020
373593938,80.928,-66.6525,11.66,G08020
373598194,81.0573,-66.4247,12.44,G08020;G08017
373682056,81.284,-69.8954,11.14,G08020;G08017;G08137
373839861,81.6454,-68.8687,9.09,G08020;G08137
373843852,81.5634,-67.5,10.77,G08020;G08017
389328766,85.7053,-69.5478,11.57,G08020;G08137
389564948,86.2187,-67.3331,12.27,G08020;G08017;G08137
389570429,86.4943,-67.8392,11.5,G08020;G08017;G08137
391809072,82.5653,-67.5394,11.24,G08020;G08017;G08137
40347835,77.4108,-69.3104,12.23,G08020
404768475,84.7224,-69.0336,11.03,G08020;G08137
404796860,84.6771,-69.3859,11.52,G08020;G08017;G08137
40515236,77.6142,-69.1532,11.44,G08020;G08137
40795195,78.6316,-69.2315,9.77,G08020;G08017;G08137
425083634,83.1205,-67.532,12.14,G08020;G08137
425084139,83.0033,-67.3397,12.19,G08020;G08017;G08137
425084965,83.0798,-66.9979,11.51,G08020;G08017;G08137
55758135,75.3062,-65.811,11.28,G08020;G08017

# Sector 098 targets observed (2 min: 33, 20 s: 1)
427451176,84.0534,-1.202,2.69,G08020
231308237,78.6345,-8.2017,0.71,G08020;20SECONDTARGET
66651575,86.9391,-9.6696,8.28,G08020
373593938,80.928,-66.6525,11.66,G08020
