# TESS Program G09004

Title: A Magnitude Limited Sample Of M Dwarfs To Constrain The Super-Earth Rate Across The Fully Convective Boundary

PI: Theissen, Christopher - University Of California (San Diego)

Type: SMALL

Summary: Recent pebble accretion models have estimated that the occurrence of Earth/super-Earth planets (1-4 Rearth) peaks around stars with 50% the mass of the Sun and decreases for smaller stars, citing TRAPPIST-1 and Teegarden's Star as rare systems. We propose 20-second and 2-minute cadence observations for a magnitude-limited sample of stars (Tmag < 13) with masses between 10%-30% the mass of the Sun, which will mitigate issues with pointing jitter in FFIs. We discuss that higher cadence observations of the brightest very-low-mass stars will add an additional 3-6 planets in Cycle 9, doubling the yield expected from FFI frames. This magnitude-limited, systematically constructed sample will provide stronger constraints on the occurrence rate of planets among the lowest-mass stars.


# Sector 108 targets observed (2 min: 72, 20 s: 3)
289730802,36.4621,-14.5431,12.52,G09004;20SECONDTARGET
29960084,42.281,-14.6981,12.48,G09004
302498974,34.4841,-13.4532,12.77,G09004;G09123
36845873,42.9511,-8.2285,12.06,G09004
408110150,32.6874,-9.6405,12.38,G09004;G09123
441154168,41.0645,-13.6049,12.63,G09004
4645960,38.2188,-8.5532,12.61,G09004
4723156,39.4429,-7.0999,12.49,G09004
241630746,25.973,-4.3364,12.62,G09004
248954240,21.4268,-4.2577,12.79,G09004
427543167,28.4969,-4.1533,12.54,G09004
427543467,28.5726,-2.3964,12.44,G09004
257437952,23.2835,-14.6152,12.65,G09004;G09123
268535538,15.3046,-21.0631,12.82,G09004
32553278,21.1813,-15.6884,12.58,G09004
66534879,16.7272,-17.5083,12.45,G09004
142938846,52.5751,-34.0431,12.14,G09004
142960439,53.4513,-34.9937,12.88,G09004
142976580,53.4742,-30.5468,12.15,G09004
142981956,53.8739,-32.3096,12.82,G09004
143028327,54.6203,-31.4882,12.59,G09004
166699464,55.3563,-32.1098,12.45,G09004
168695971,61.3814,-31.8749,12.47,G09004
44798589,62.5378,-29.6115,12.87,G09004
89063099,54.6086,-29.7381,12.87,G09004
121006435,55.1822,-20.0028,12.05,G09004
121026331,56.1087,-18.6228,12.64,G09004
121078952,56.7283,-22.9077,12.78,G09004
136888130,61.0529,-13.6948,12.13,G09004
139725959,66.8835,-20.7065,12.67,G09004
156928126,57.2658,-13.7214,12.55,G09004
279401333,57.6326,-15.4062,12.77,G09004
279453152,58.4086,-13.905,12.93,G09004
279455062,58.4663,-12.9189,12.39,G09004
279493306,58.929,-12.4851,12.79,G09004
332532562,61.2745,-16.2934,12.87,G09004
461715780,59.9843,-16.5832,12.26,G09004;G09123
118653298,53.9881,-10.5169,12.68,G09004
12530777,51.8467,-10.5731,12.7,G09004
141287662,44.9519,-9.224,12.59,G09004
257567390,52.8121,-21.2915,12.51,G09004;G09123;20SECONDTARGET
274000625,42.6478,-18.8541,12.29,G09004
36916151,43.8965,-11.7627,12.46,G09004
406474860,50.4916,-16.6054,12.92,G09004
406476495,50.5051,-12.2772,12.84,G09004
441503832,47.5637,-15.3791,12.51,G09004
441504216,47.5086,-13.5723,12.76,G09004
441518050,49.045,-15.377,12.89,G09004
92248525,49.3293,-19.6732,12.68,G09004
92250728,49.5246,-20.3785,12.1,G09004
93090598,53.0337,-15.0467,12.74,G09004
98778252,45.0828,-17.7489,12.46,G09004;20SECONDTARGET
9965327,50.5598,-10.3344,12.81,G09004
144480615,49.2848,-29.4073,12.7,G09004
88532457,48.4257,-29.5469,12.9,G09004
92261741,50.1786,-22.9266,12.85,G09004
146437857,75.5883,-19.5378,10.6,G09004
398841686,78.5682,-23.3581,12.79,G09004
402147365,70.7679,-23.572,12.57,G09004
612870,72.6371,-24.2225,12.87,G09004;G09123
13220060,77.5473,-29.4488,12.78,G09004
1353822,73.5433,-30.6094,12.38,G09004
1357792,73.8293,-32.2059,12.6,G09004
1395782,74.2565,-35.6262,12.49,G09004
14162401,77.9449,-36.1848,12.17,G09004
1447223,74.8548,-30.9323,12.03,G09004
423810969,71.3339,-27.4343,12.66,G09004;G09123
21503443,85.6446,-35.9639,12.79,G09004
32499519,84.2373,-27.5746,12.92,G09004
46271787,82.9663,-16.1953,12.49,G09004
46530889,84.5208,-14.637,12.43,G09004
94988963,81.9468,-15.5674,12.87,G09004
