# TESS Program G09062

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Chontos, Ashley - Dartmouth College

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 108 targets observed (2 min: 655, 20 s: 186)
120897195,36.7983,-26.8216,8.55,G09062
120917031,37.2037,-24.9818,8.47,G09062
120931911,37.3946,-24.1037,6.47,G09062
139472130,35.8099,-29.87,7.01,G09062;20SECONDTARGET
139524482,36.2042,-29.8632,8.29,G09062
139525924,36.4256,-27.1442,8.01,G09062
257505350,31.3502,-17.4371,9.32,G09062
266679787,28.1058,-20.6113,8.13,G09062;G09123
266680498,28.2107,-19.5077,6.98,G09062;G09123;20SECONDTARGET
266680717,28.2639,-20.9717,8.77,G09062
266717906,28.6606,-21.2659,9.48,G09062
266724047,28.9546,-20.5637,7.57,G09062
266748633,29.7279,-21.1322,6.82,G09062;20SECONDTARGET
266769521,29.7516,-22.9182,7.04,G09062
266769592,29.8572,-23.436,7.69,G09062
266855794,31.4973,-22.1503,7.72,G09062
268858501,33.7591,-23.5411,6.56,G09062
279342892,35.6371,-23.8168,4.6,G09062;20SECONDTARGET
290170805,32.1899,-17.5538,9.15,G09062
313937691,30.3953,-25.6344,8.41,G09062
313939650,30.6293,-25.5354,9.8,G09062
33492996,26.4129,-25.053,4.98,G09062;20SECONDTARGET
33526324,27.1797,-23.8697,7.47,G09062
33528329,27.382,-24.109,9.29,G09062
33576194,28.0026,-27.1133,8.54,G09062
33576915,28.0567,-27.7558,8.07,G09194;G09062;20SECONDTARGET
33596593,29.0739,-24.1314,8.04,G09062
33626362,29.3329,-27.7456,9.13,G09062
33664799,30.1199,-26.222,8.4,G09062
63942870,36.351,-21.8105,7.17,G09062
63958517,36.7847,-19.2879,9.33,G09062
64008164,37.1742,-19.7989,7.54,G09062;20SECONDTARGET
64008346,37.2149,-18.619,7.55,G09062;20SECONDTARGET
64008666,37.2796,-19.289,7.54,G09062
64033287,37.994,-23.9293,8.48,G09062
64107645,39.7601,-20.8872,8.14,G09062
72623068,31.8037,-27.8193,8.22,G09062
72653150,32.9792,-26.3085,8.78,G09062
72667052,33.0804,-26.6402,8.24,G09062
72669302,33.4003,-24.79,7.42,G09062
72689780,33.5817,-27.9083,7.21,G09062
72690118,33.6791,-29.358,9.65,G09062
72705077,33.7464,-29.1872,8.8,G09062
72747400,34.64,-29.6713,8.47,G09062
72763465,35.0009,-24.4799,8.43,G09062
1030901,34.0231,-8.2267,9.25,G09062
1031383,34.0681,-9.8215,6.34,G09062;20SECONDTARGET
1112857,36.0527,-6.7892,8.35,G09062
1118463,36.4739,-9.9023,7.73,G09062
1123245,36.6468,-11.2971,9.67,G09062
1129777,37.1941,-11.347,6.64,G09062;20SECONDTARGET
