# TESS Program G09177

Title: Extending The Hot Subdwarf Asteroseismic Census With TESS Cycle 9 Photometry

PI: Barlow, Brad - University Of North Carolina

Type: SMALL

Summary: We propose TESS Cycle 9 observations of known and candidate pulsating hot subdwarf stars to (i) extend baselines of known variables to unlock new asteroseismic science thresholds and (ii) discover entirely new hot subdwarf pulsators. Collectively, these light curves will enable detailed asteroseismic analyses probing helium-burning core masses, internal rotation profiles, and chemical stratification across a large sample of extreme horizontal branch stars. A subset of targets overlap with PLATO long-duration fields, providing complementary long-baseline coverage. An ancillary transit survey will search for planetary survivors of common envelope evolution. This program will improve our capacity to draw a statistically meaningful picture of this enigmatic stage of stellar evolution.


# Sector 108 targets observed (2 min: 128, 20 s: 5)
632369999,38.6946,-24.4593,16.94,G09177
632429913,37.9889,-20.2834,16.66,G09177
168703180,61.9925,-30.7742,16.22,G09177
471014386,58.0431,-30.4234,17.62,G09177
471015340,62.2817,-25.3708,16.4,G09177
686241564,63.501,-31.9121,17.05,G09177
139671163,66.1223,-23.1957,16.49,G09177
156218734,56.2222,-13.346,16.34,G09177
332699983,63.5462,-16.126,16.33,G09177
471013751,59.1221,-17.7229,16.88,G09177
471015389,66.1725,-16.7164,16.64,G09177
441499712,46.722,-12.1999,16.47,G09177;G09102
471013821,52.9875,-16.2842,16.43,G09177
471014034,49.6862,-12.8319,16.63,G09177
651705648,48.9505,-16.7558,17.4,G09177;G09016;G09102;G09017
92358656,52.1484,-20.993,16.24,G09177;G09102;20SECONDTARGET
471014005,43.1922,-30.9794,17.27,G09177
471014115,37.7173,-28.5734,17.39,G09177
121709933,73.0452,-21.2213,16.38,G09177
146340999,74.099,-23.2608,16.38,G09177
471015359,77.1529,-14.8664,16.53,G09177
671310954,75.1593,-16.7509,16.93,G09177
1334395,73.3359,-34.5797,16.45,G09177
1517398,75.3062,-32.1061,16.3,G09177;G09102
471015280,69.6879,-36.0669,16.43,G09177
471015330,73.1775,-26.7928,16.36,G09177
471015360,77.6054,-28.1039,16.53,G09177
686020250,69.6883,-36.0673,17.01,G09177;G09016;G09102;G09017
153182595,89.7909,-28.9656,16.3,G09177;G09102
24397887,81.5463,-34.788,16.61,G09177
685773763,79.6566,-35.1126,16.33,G09177;G09102
706204707,85.7451,-32.8307,17.03,G09177
706267712,87.6901,-30.4672,16.85,G09177;G09102
706478670,88.0381,-27.3482,17.1,G09177;G09102
735063928,82.2099,-34.7801,16.68,G09177
31142648,81.3002,-25.954,16.57,G09177;G09102;20SECONDTARGET
317601284,88.4624,-17.6814,16.76,G09177;G09102;20SECONDTARGET
93444702,87.2253,-22.4239,16.42,G09177
37737816,93.5618,-25.0767,16.78,G09177
48322129,99.3408,-23.0457,16.66,G09177
707044408,98.2167,-24.0286,16.38,G09177
744346565,101.4541,-24.5,16.77,G09177
744604936,101.2813,-22.8889,16.96,G09177
78380089,102.427,-20.5257,16.36,G09177
78687405,102.971,-23.0732,16.12,G09177;G09102
79689537,104.6927,-23.02,16.51,G09177
80043574,105.086,-22.5654,16.57,G09177
80133660,105.1584,-21.9675,17.1,G09177
117772616,96.5515,-33.5302,16.41,G09177
124849365,94.6907,-32.9768,16.53,G09177
