TICID,RA,Dec,Tmag,Keywords
93280676,86.1136,-22.451,3.1,G07051;G07170;20SECONDTARGET
219420836,79.8425,-50.6044,4.97,G07051;G07031;20SECONDTARGET
354552931,82.5397,-47.0786,4.92,G07051;20SECONDTARGET
170225363,102.4776,-46.612,4.71,G07031;G07051;20SECONDTARGET
350619228,87.4579,-56.1672,3.58,G07036;G07051;20SECONDTARGET
374860864,88.5275,-63.086,3.75,G07036;G07051;20SECONDTARGET
141280255,82.9743,-76.339,4.23,G07036;G07051;20SECONDTARGET
141810080,92.5635,-74.7545,4.43,G07036;G07051;20SECONDTARGET
272086938,115.456,-72.606,3.08,G07036;G07051;20SECONDTARGET
287532010,124.6349,-76.919,3.67,G07036;G07031;G07051;20SECONDTARGET
300015239,107.1874,-70.4982,2.88,G07036;G07051;20SECONDTARGET
