TICID,RA,Dec,Tmag,Keywords
1442449,142.649,-15.2592,16.55,G07092;20SECONDTARGET
289668154,145.9232,-11.9901,17.75,G07092;20SECONDTARGET
46905621,143.0633,-7.0819,16.9,G07092;20SECONDTARGET
56546056,147.8398,-10.4764,17.02,G07092;20SECONDTARGET
836181817,138.7964,-16.0742,18.31,G07092;20SECONDTARGET
836185447,138.521,-15.5706,17.57,G07092;20SECONDTARGET
836202616,139.3344,-14.623,18.45,G07092;20SECONDTARGET
836466424,139.5327,-12.0046,18.66,G07092;20SECONDTARGET
836470661,138.6389,-11.8124,18.91,G07092;20SECONDTARGET
836475024,139.9008,-10.9518,17.67,G07092;20SECONDTARGET
841615238,150.4312,-12.9841,18.39,G07092;20SECONDTARGET
841621204,150.0486,-11.7868,18.74,G07092;20SECONDTARGET
841664128,149.4984,-11.207,18.72,G07092;20SECONDTARGET
841672486,150.9416,-10.2454,18.57,G07092;20SECONDTARGET
841684462,146.7445,-9.8584,18.48,G07092;20SECONDTARGET
841684749,147.3149,-9.6883,18.98,G07092;20SECONDTARGET
841687092,148.2309,-8.8978,18.23,G07092;20SECONDTARGET
841689669,148.9425,-8.9026,18.63,G07092;20SECONDTARGET
841829885,146.454,-7.7953,17.93,G07092;20SECONDTARGET
841830583,145.7612,-7.6479,18.97,G07092;20SECONDTARGET
841841131,145.4992,-7.5713,18.34,G07092;20SECONDTARGET
841887487,143.5019,-6.8604,18.34,G07092;20SECONDTARGET
875801811,147.7056,-19.7294,18.65,G07092;20SECONDTARGET
875809627,147.8542,-19.2533,18.18,G07092;20SECONDTARGET
876016244,143.5366,-17.6074,16.68,G07092;20SECONDTARGET
876037820,140.5437,-17.43,17.37,G07092;20SECONDTARGET
876041600,141.3322,-17.5833,18.31,G07092;20SECONDTARGET
876061220,141.5256,-16.0946,18.86,G07092;20SECONDTARGET
876067181,140.3376,-15.3933,18.87,G07092;20SECONDTARGET
876115965,147.3164,-15.9386,18.39,G07092;20SECONDTARGET
876173346,144.4092,-16.0048,18.74,G07092;20SECONDTARGET
876175633,144.0719,-15.6294,18.59,G07092;20SECONDTARGET
876179223,142.6227,-15.5364,18.37,G07092;20SECONDTARGET
876185577,144.949,-14.977,17.52,G07092;20SECONDTARGET
876194773,144.9169,-13.6463,18.69,G07092;20SECONDTARGET
876224851,146.8874,-13.4245,18.06,G07092;20SECONDTARGET
876239560,146.4347,-12.01,18.29,G07092;20SECONDTARGET
876239612,146.6582,-11.9542,17.95,G07092;20SECONDTARGET
876244486,144.6255,-12.6759,18.45,G07092;20SECONDTARGET
876245765,145.5312,-12.5001,18.93,G07092;20SECONDTARGET
876246237,145.3343,-12.2696,17.52,G07092;20SECONDTARGET
876255741,146.0108,-11.4632,17.87,G07092;20SECONDTARGET
876265576,140.8144,-14.0895,18.25,G07092;20SECONDTARGET
876270555,141.7837,-13.1045,18.48,G07092;20SECONDTARGET
876289201,142.3645,-11.1145,18.23,G07092;20SECONDTARGET
876302439,143.9898,-11.4416,18.71,G07092;20SECONDTARGET
876303085,142.9742,-11.5786,18.26,G07092;20SECONDTARGET
876305629,144.5081,-10.7757,18.69,G07092;20SECONDTARGET
876307919,143.0408,-11.009,18.76,G07092;20SECONDTARGET
876311685,143.3259,-10.2402,18.52,G07092;20SECONDTARGET
876312307,143.4218,-10.0022,18.2,G07092;20SECONDTARGET
876321972,144.5114,-8.9335,18.72,G07092;20SECONDTARGET
876344409,140.1648,-9.9013,18.15,G07092;20SECONDTARGET
876351026,141.3941,-7.8704,18.14,G07092;20SECONDTARGET
876354511,140.9589,-7.4943,17.32,G07092;20SECONDTARGET
876362310,140.894,-7.0044,17.83,G07092;20SECONDTARGET
876362578,141.4905,-6.9309,18.94,G07092;20SECONDTARGET
876364277,142.3256,-6.4383,17.85,G07092;20SECONDTARGET
179299789,159.7294,-20.6786,15.49,G07092;20SECONDTARGET
192538483,154.3608,-21.8953,16.03,G07009;G07092
26227661,152.9316,-11.9076,18.73,G07092;20SECONDTARGET
319304848,151.5005,-18.4795,17.66,G07092;20SECONDTARGET
334692863,157.2209,-16.9877,17.21,G07092;20SECONDTARGET
334774892,157.731,-14.3997,16.13,G07092;20SECONDTARGET
410091786,162.5436,-14.077,17.13,G07084;G07025;G07092;20SECONDTARGET
413328693,160.5728,-21.1446,17.29,G07092;20SECONDTARGET
47481377,155.6817,-21.0006,15.34,G07092;20SECONDTARGET
841449176,159.7622,-21.1313,18.85,G07092;20SECONDTARGET
841451552,159.6393,-20.1472,18.84,G07092;20SECONDTARGET
