TICID,RA,Dec,Tmag,Keywords
1103432,130.5814,-17.1894,12.83,G08028;G08058;G08030
289535142,131.5249,-13.2029,12.54,G08028;G08058;G08030
386262459,127.4009,-16.0018,9.14,G08028;G08058;G08030
410094645,133.2589,-22.1981,12.42,G08028;G08058;G08030
413162396,127.9197,-20.1132,11.32,G08028;G08058;G08030
46904539,142.9912,-7.9597,10.32,G08028;G08058;G08030
96106862,147.206,-8.4935,8.87,G08028;G08058;G08030
123222370,143.5049,-2.3401,10.35,G08028;G08058;G08030
293844307,141.4812,-3.2875,10.48,G08028;G08058;G08030
293844315,141.4744,-3.3057,9.89,G08028;G08058;G08030
88977253,123.0977,-5.7687,12.33,G08028;G08058;G08030
102195674,154.1917,-42.5591,11.34,G08028;G08058;G08030
45599777,148.8261,-39.883,12.37,G08028;G08058;G08030
5703872,143.36,-39.3652,7.88,G08028;G08058;G08030
72605231,151.7921,-40.4713,10.45,G08028;G08058;G08030
73723286,155.6373,-40.5165,9.11,G08028;G08058;G08030
106470229,159.6018,-37.8383,13.08,G08028;G08058;G08030
187930369,159.2784,-25.5717,9.65,G08028;G08058;G08030
193271278,158.5786,-29.8154,10.34,G08028;G08058;G08030
101395259,148.7202,-23.3321,10.19,G08028;G08058;G08030
168312820,154.328,-25.9144,12.32,G08028;G08058;G08030
22146154,148.7627,-25.1332,9.99,G08028;G08058;G08030
21818238,146.732,-29.3046,11.06,G08028;G08058;G08030
25776767,145.3196,-31.8195,10.64,G08028;G08058;G08030
151681127,166.8888,-40.2069,9.14,G08028;G08058;G08030
151959065,168.9984,-36.4594,11.96,G08028;G08058;G08030
152147232,169.9093,-39.4621,11.67,G08028;G08058;G08030
158450472,163.7766,-39.8446,12.08,G08028;G08058;G08030
162362398,169.4143,-44.0171,10.62,G08028;G08058;G08030
178723395,166.1451,-43.2403,11.15,G08028;G08058;G08030
181159386,174.3028,-38.3072,11.17,G08028;G08058;G08030
61635991,176.7101,-42.6165,9.8,G08028;G08058;G08030
102978235,155.9917,-43.4241,11.5,G08028;G08058;G08030
146530594,159.0193,-45.0979,11.78,G08028;G08058;G08030
294191640,159.3642,-45.3633,12.11,G08028;G08058;G08030
363326796,146.0977,-48.8372,9.84,G08028;G08058;G08030
375477302,152.4205,-46.4984,12.03,G08028;G08058;G08030
451483379,171.5913,-55.072,10.3,G08028;G08058;G08030
163042814,190.916,-50.3522,10.93,G08028;G08058;G08030
163647847,191.552,-48.9428,11.02,G08028;G08058;G08030
22390773,184.179,-45.8677,8.97,G08028;G08058;G08030
272058503,187.3327,-54.1979,8.93,G08028;G08058;G08030
405177882,181.1452,-47.6143,11.63,G08028;G08058;G08030
92995573,174.2421,-49.3933,10.57,G08028;G08058;G08030
241532550,206.5569,-51.0378,11.98,G08028;G08058;G08030
253126207,194.6839,-58.4768,11.11,G08028;G08058;G08030
410654298,177.0042,-66.1136,7.81,G08028;G08058;G08030
446872386,232.223,-66.4927,9.43,G08028;G08058;G08030
124350360,227.667,-52.8065,9.19,G08028;G08058;G08030
190271688,221.3434,-54.7612,10.16,G08028;G08058;G08030
