TICID,RA,Dec,Tmag,Keywords
1048136303,201.5827,-47.4873,16.28,
1048366999,201.1033,-46.4911,16.36,
1053274532,209.2908,-42.7902,16.77,
113275637,208.9338,-41.995,4.92,
113279107,208.8823,-44.5861,7.54,
166142430,205.7287,-41.4014,5.09,
166527623,207.5259,-40.836,9.19,G08046;G08041;G08137;20SECONDTARGET
179006184,210.1745,-41.8756,5.51,
241358980,204.4835,-50.6013,5.11,
241402261,205.1316,-53.0355,5.9,
241409833,204.9981,-49.9499,2.62,
241414705,205.2996,-48.3184,5.78,
241442273,205.5128,-48.4669,8.45,
241470109,205.7275,-50.7903,4.7,
241514378,206.3926,-50.4073,13.89,
241567624,206.909,-50.3207,4.2,
241567772,206.8658,-50.2492,5.67,
241640242,207.6409,-48.171,11.49,G08137;20SECONDTARGET
241641457,207.8932,-48.2989,6.98,
241660076,208.0198,-52.8117,5.39,
241682179,208.1425,-50.922,6.56,G08195;20SECONDTARGET
241751294,208.8002,-52.161,5.76,G08046;20SECONDTARGET
241771689,209.1214,-49.5675,12.0,
242120884,209.9824,-43.3273,9.05,
242155024,210.4313,-45.6036,3.78,
242176768,210.7135,-47.085,14.05,
242189360,210.961,-42.7002,10.38,
242241237,211.5454,-43.0919,5.33,
242248398,211.7433,-45.089,12.97,
242300136,212.2798,-45.2878,16.16,
242304668,212.3895,-47.3927,12.7,
242327987,212.6504,-47.3925,16.22,
242328781,212.6619,-47.7444,14.59,G08002;G08062;20SECONDTARGET
242328834,212.671,-47.7691,7.04,
242333404,212.7376,-46.0617,15.69,
242385947,213.4414,-46.2054,14.44,
243140448,202.4586,-44.6581,12.04,
243177869,202.844,-42.4649,5.78,
243192184,203.0488,-46.8635,15.22,
243194645,203.1068,-47.2723,6.62,
243200602,203.106,-42.4753,10.49,
243215335,203.3715,-43.4229,6.2,
243237779,203.661,-42.2848,5.85,
243265638,203.8797,-42.697,12.66,G08046;G08137;20SECONDTARGET
243308487,204.2856,-42.7814,5.88,
243310310,204.2745,-44.1433,5.16,
243340074,204.5145,-42.765,5.34,
243388629,205.0518,-47.4773,12.62,G08020;20SECONDTARGET
243416139,205.306,-46.0285,5.82,
243423798,205.4029,-45.4941,5.79,
243474898,205.7436,-42.1824,6.97,
243476396,206.0061,-42.8137,13.23,
243507678,206.2917,-42.6842,14.95,
243559025,206.5733,-47.156,5.57,
243588142,206.8787,-46.1611,5.55,
243641947,207.4731,-46.0667,13.25,G08047;20SECONDTARGET
243665314,207.5694,-46.5562,16.09,
245008002,197.4193,-48.8215,16.35,
245068274,197.7812,-48.7343,10.5,
245074237,198.0294,-50.0666,5.71,
245166595,198.6791,-48.9577,4.92,
245206017,198.8732,-50.2263,12.73,G08137;20SECONDTARGET
245254490,199.0535,-52.415,5.98,
245440777,200.1572,-52.7479,5.61,
258906153,197.8456,-43.3687,4.33,
259529822,198.9029,-43.9607,16.38,
261098001,203.2089,-49.1747,12.44,
261098036,203.2218,-49.1843,12.64,
261385436,209.8232,-50.3698,5.09,
276011822,208.4206,-44.8316,5.99,
287607394,198.4888,-43.139,4.92,
287609748,198.4665,-45.1866,6.31,G08195;20SECONDTARGET
287675512,198.5827,-42.8525,5.8,
312139235,210.3582,-48.1715,14.69,
312213701,210.3196,-51.7484,11.36,
328812354,211.3666,-50.3992,7.39,
329600417,212.356,-49.2846,12.15,
329879897,212.7594,-48.7829,5.8,
330548648,213.3466,-48.5942,12.36,
330885564,213.9599,-50.5387,13.09,
331403557,214.4975,-49.9503,11.06,
331522286,214.5601,-48.0489,14.26,
331905817,215.0455,-50.0664,16.14,G08002;G08062;G08082;20SECONDTARGET
332456001,215.5831,-49.8494,5.94,
332793697,215.9846,-50.4996,9.21,G08158;20SECONDTARGET
359308747,201.15,-53.9144,5.94,
359762838,209.5675,-42.1009,4.07,G08017;20SECONDTARGET
359837552,209.7175,-47.8072,5.68,
359914730,209.7897,-45.4695,6.89,
363622268,199.7395,-45.5047,15.94,G08002;G08062;20SECONDTARGET
363774571,200.2396,-46.8799,4.82,
363851359,200.6349,-44.6889,13.28,G08047;20SECONDTARGET
363879560,200.7515,-46.7347,16.29,G08062;20SECONDTARGET
399025895,198.3469,-50.6999,5.92,
401431637,200.5678,-52.183,5.75,
420013710,202.8455,-51.284,8.52,
420396041,209.0809,-46.5936,4.87,
425432916,200.7826,-48.0953,16.25,G08036;20SECONDTARGET
425433239,200.9689,-47.8907,5.88,
425436926,200.9662,-49.823,5.66,
438637923,202.0237,-43.7687,6.3,
438638623,202.089,-44.2799,5.99,
438692243,202.4246,-46.1836,5.72,
438699027,201.0666,-52.7003,12.85,
438701212,201.1082,-51.8751,5.5,
438702139,201.15,-51.5046,6.95,G08101;G08046;20SECONDTARGET
438832923,202.3552,-51.1652,4.99,G08101;20SECONDTARGET
438838902,202.4403,-48.7437,11.73,G08137;20SECONDTARGET
453776506,199.1324,-44.7044,4.23,
453782421,199.308,-43.9795,5.69,
453789494,199.4337,-47.2376,10.73,
453812334,199.4647,-44.1537,12.7,
453819148,199.6245,-45.1753,12.43,
994296129,196.6352,-47.2389,17.26,G08002;G08062;20SECONDTARGET
1052325153,214.7325,-41.5096,16.52,
1053972531,213.4242,-39.9045,12.13,
1168556619,228.2695,-41.2243,16.61,
1173423962,220.3096,-38.7753,17.41,G08002;G08062;20SECONDTARGET
121103722,224.6515,-39.9078,5.15,
121348569,225.0797,-37.8708,5.93,
121362357,225.2945,-37.9543,16.03,
121362695,225.3049,-38.0587,4.8,
121409109,225.3951,-41.8242,7.63,
121416074,225.4684,-38.4254,14.88,
121632493,225.8575,-38.7371,8.49,G08119;20SECONDTARGET
121669514,225.9811,-40.5441,9.24,
121784072,226.1786,-40.8616,3.44,
121792588,226.3301,-41.0672,4.25,
121794563,226.2918,-40.5693,5.88,
121796893,226.2593,-39.9854,5.74,
121932564,226.5679,-41.4705,5.75,
122162363,227.0502,-40.5842,5.86,
122407975,227.7197,-41.7326,16.77,G08062;20SECONDTARGET
126980816,216.5549,-42.319,5.32,
127092145,216.799,-46.1348,5.56,
127528383,217.5356,-45.3216,5.6,
127530399,217.6093,-46.1597,11.11,G08145;20SECONDTARGET
127532620,217.5879,-47.0111,5.98,
127664511,217.946,-44.8067,5.84,
127866720,218.3842,-47.5271,15.63,
128082634,218.7396,-45.0087,12.05,
128213162,218.9579,-46.8159,5.94,
128214766,219.079,-46.2453,4.19,
128285413,218.9654,-43.3674,5.78,
128414141,219.3353,-44.1685,9.22,G08046;G08137;20SECONDTARGET
128447666,219.4023,-43.1113,5.66,
128529229,219.5568,-45.8723,5.83,
128551155,219.5942,-46.3898,9.32,
128703021,219.7931,-46.586,5.59,
128833743,220.1758,-42.2123,5.62,
129053465,220.5391,-42.7894,5.9,
129117005,220.4604,-47.2753,4.88,
129230127,220.8308,-45.0079,12.88,
129473639,221.4884,-43.3056,5.51,
129560048,221.6204,-47.4412,5.71,
129662780,222.213,-44.8714,16.8,
129778070,222.4613,-44.6693,16.12,
130010183,222.82,-47.406,6.49,
142812088,229.118,-44.5039,5.26,
143414168,229.2707,-43.6622,15.71,
148016893,229.3227,-41.9271,5.57,
158948694,218.3318,-37.2416,6.84,
159043143,218.8809,-41.5176,5.96,
159149812,219.1,-39.5976,5.2,
159150734,219.1837,-40.2117,5.86,
159197255,219.4153,-36.2239,12.6,G08036;20SECONDTARGET
159265989,219.581,-38.7944,4.77,
159322360,219.7531,-39.1503,15.42,
159495863,220.2555,-36.1349,5.75,G08119;20SECONDTARGET
159752939,221.0179,-40.9897,8.61,G08046;20SECONDTARGET
159825551,221.284,-38.7548,5.95,
159827589,221.2753,-39.9895,16.64,
159861879,221.3467,-41.5008,15.21,
159994000,221.7717,-38.2912,4.68,
159995914,221.8861,-39.5212,16.02,G08002;G08062;20SECONDTARGET
160061147,222.1584,-36.635,2.83,
160151636,222.3447,-37.5979,14.2,
160339274,222.8839,-38.6996,16.52,
160403365,223.0106,-41.5898,16.32,
160476088,226.8542,-45.1596,13.16,
160578764,223.6587,-38.7446,12.1,
160635811,223.777,-41.7908,10.06,
160636601,223.727,-41.3654,6.67,
160704414,227.1631,-42.8681,5.95,
160708862,227.2703,-42.705,9.88,G08035;20SECONDTARGET
160824451,227.5497,-44.5192,9.27,
160890430,227.6735,-43.7306,6.45,
161052108,227.8949,-45.2774,5.57,
161105295,227.9964,-43.6374,16.5,
167449196,215.7159,-39.6241,5.6,
179413040,212.042,-41.3981,10.78,G08046;G08137;20SECONDTARGET
179615113,212.9927,-41.5399,11.71,G08158;20SECONDTARGET
179674537,213.2235,-41.6429,5.05,
179705212,213.4236,-39.9051,8.98,
