TICID,RA,Dec,Tmag,Keywords
118572803,53.2253,-9.4581,2.9,G09062;G09123;20SECONDTARGET
118574389,53.3709,-9.8543,8.97,G09062
118653298,53.9881,-10.5169,12.68,G09004
118653666,53.9765,-8.7829,14.37,G09102;20SECONDTARGET
120956785,54.0542,-18.5508,7.26,G09062
120959196,54.3192,-19.6405,11.77,G09196
120974003,54.4895,-19.3187,10.6,G09123
121006435,55.1821,-20.0028,12.05,G09004
121007602,55.2562,-21.8011,13.25,G09123
121011020,55.6659,-20.5453,8.42,G09123
121026331,56.1087,-18.6228,12.64,G09004
121027055,56.0259,-22.0319,8.61,G09062
121048719,56.238,-21.5828,8.0,G09062
121048789,56.2002,-21.2942,8.79,G09123
121049256,56.2582,-19.135,8.17,G09062
121089579,57.1137,-19.7444,10.64,G09123
121104002,57.4538,-22.7849,15.05,G09016;G09102;G09017;G09166
121106998,57.7335,-20.8045,14.12,G09041
121133362,57.8465,-20.3867,12.98,G09180
121133363,57.8449,-20.387,10.64,G09180
121157898,58.2415,-19.9309,16.59,G09102;G09166;20SECONDTARGET
121158260,58.1913,-18.3687,11.56,G09123;20SECONDTARGET
121158680,58.3179,-19.2893,8.89,G09062
12530777,51.8467,-10.5731,12.7,G09004
12549312,52.2809,-11.7056,13.45,G09102
12571097,52.3249,-10.5547,7.11,G09062;20SECONDTARGET
12605683,52.7968,-11.3873,8.15,G09062
12632682,53.0884,-11.7937,16.91,G09016;G09102;G09017;G09166
136887637,61.0783,-15.7253,4.33,G09123;20SECONDTARGET
136888130,61.0529,-13.6948,12.13,G09004
136888305,61.0948,-12.7922,4.71,G09123;20SECONDTARGET
155776051,55.8992,-11.9032,17.25,G09166;G_SPECIAL_APERTURE_17_17
155993772,56.0368,-13.4033,8.45,G09194
156215534,56.245,-16.8784,15.05,G09102;20SECONDTARGET
156218734,56.2222,-13.346,16.34,G09177
156928126,57.2658,-13.7214,12.55,G09004
178199994,58.4724,-19.2538,9.88,G09123
178215592,58.9345,-20.1164,17.94,G09016;G09017
178242590,59.1578,-18.2375,11.42,G09079;G09036;G09039
178242805,59.0777,-19.4123,11.33,G09123
206694588,54.162,-13.3187,9.08,G09062
206714579,54.7316,-14.4888,9.86,G09062
206720132,55.2939,-13.3286,9.19,G09062
206734823,55.5175,-17.1461,7.34,G09062
257602545,53.2998,-19.2511,11.78,G09180
257602546,53.301,-19.2525,12.67,G09180
279373233,57.6462,-11.9954,7.23,G09062
279401253,57.6573,-15.0263,11.26,G09034;G09123;20SECONDTARGET
279401333,57.6326,-15.4062,12.77,G09004
279402565,57.7654,-14.7078,8.04,G09062
279404314,57.8895,-17.5017,11.35,G09194
279433960,58.1953,-17.1808,14.78,G09102;20SECONDTARGET
279434608,58.2238,-14.1112,8.71,G09062
279453152,58.4086,-13.905,12.93,G09004
279454212,58.4774,-16.9546,10.1,G09079;G09036;G09039
279455062,58.4663,-12.9189,12.39,G09004
279483438,58.5429,-16.8813,17.24,G09041;G09102;G09166;20SECONDTARGET
279484490,58.6956,-14.2688,16.1,G09102;G09166;20SECONDTARGET
279493306,58.929,-12.4851,12.79,G09004
279537689,59.4005,-14.1649,9.69,G09036
319312735,61.8672,-14.9384,10.34,G09123
