# TESS Program G08046

Title: Planets And Stellar Activity Through Time: Understanding The Evolution, Diversity And Habitability Of Planetary Systems

PI: Battley, Matthew - Queen Mary University Of London

Type: SMALL

Summary: Young exoplanets offer unique insights into the formation and evolution processes that form the diverse population of exoplanets known today. We propose to observe 10,140 young stars with 2-min cadence, in order to search for new young exoplanets and characterise the early evolution of stellar flare activity in order to understand its effects on the diversity and habitability of planetary systems. Our sample is drawn from 55 nearby stellar associations, co-moving groups and open clusters with precise ages from 1Myr 3 Gyr, providing a wide overview of exoplanetary evolution over these early epochs. The longer sectors and adjusted pointing of Cycle 8 will allow us to extend the search to longer-period young exoplanets and better characterise the rotational activity of these young stars.


# Sector 097 targets observed (2 min: 858, 20 s: 59)
10785492,15.4214,-13.4214,15.09,G08046
10802452,20.1353,-11.4687,7.72,G08046;G08158
136844168,23.0935,-11.4566,12.64,G08046;G08158;20SECONDTARGET
164773113,26.8111,-18.3858,13.57,G08046
167459261,17.7419,-17.5703,14.74,G08046
25398840,22.6186,-13.4212,12.19,G08046
257434109,23.1434,-12.8527,8.7,G08046
257434657,23.1682,-16.2701,16.37,G08046
257439987,24.1514,-17.7891,13.49,G08046;G08158
268639026,17.0866,-19.5167,14.58,G08046;G08158
268687113,17.7413,-22.208,10.73,G08046;G08158
299121262,21.7539,-11.2766,16.04,G08046
29921357,24.3801,-13.9451,14.42,G08046;G08158
32549722,20.6405,-15.2305,12.16,G08046
32552155,21.0069,-12.5872,14.07,G08046;G08158
404467810,25.8955,-14.9434,13.96,G08046
423703638,22.8749,-15.2545,14.93,G08046;20SECONDTARGET
439496342,21.8598,-21.6736,13.15,G08046
54003409,23.6581,-15.6764,5.6,G08046;20SECONDTARGET
54018090,23.8614,-13.3808,6.63,G08046;20SECONDTARGET
66534229,16.6097,-14.2971,8.65,G08046;20SECONDTARGET
1025507,33.6706,-8.0387,13.17,G08046
1028586,33.7039,-6.1544,12.9,G08046
1028594,33.7181,-6.106,7.95,G08046
1028816,33.839,-7.1263,8.44,G08046
1028829,33.8409,-7.1721,12.46,G08046
1034048,34.0993,-6.3623,12.23,G08046
1068955,35.5913,-8.2053,16.27,G08046;G08103
10843303,25.7229,-10.0958,16.33,G08046
1119294,36.6163,-9.2642,15.18,G08046
1119459,36.6163,-8.4525,13.14,G08046
167450793,33.232,-9.6539,13.88,G08046
167451011,33.1534,-8.0549,14.84,G08046
212376926,26.8109,-14.4706,13.63,G08046;G08158
24884883,27.0296,-10.7699,13.53,G08046
24927833,28.261,-9.9388,13.55,G08046
24980244,29.6778,-7.6325,12.69,G08046
25001358,30.0541,-8.6815,10.28,G08046;G08137;G08158
25001474,29.9753,-9.5046,10.3,G08046
25004643,30.5447,-11.1587,13.09,G08046;G08158
257459954,30.2375,-15.7713,13.57,G08046;G08082
257484024,30.6747,-16.1649,15.23,G08046
257484419,30.7428,-13.6297,11.21,G08046;G08137
268765670,32.0079,-18.366,13.72,G08046
289730802,36.4621,-14.543,12.52,G08046;G08009;G08158;G08137
289732270,36.6239,-16.7729,16.01,G08046
290168561,31.665,-13.8246,15.36,G08046
302413390,33.2701,-14.4934,14.67,G08046
302413707,33.2434,-16.285,16.35,G08046
