# TESS Program G09039

Title: Tidal And Magnetic Interactions In Unequal Mass Eclipsing Binaries

PI: Martin, David - Tufts University

Type: SMALL

Summary: Close binaries are laboratories of tidal and magnetic interactions, yet observational constraints are limited. We propose TESS Cycle 9 observations of 203 unequal-mass EBs with RV measurements spanning up to 16 years. Our F/G/K + M EBs are ideal for probing tidal physics because weaker tides shift the transition between efficient and inefficient tidal evolution to shorter, more observable orbital periods. TESS will reveal starspot modulations to test tidal synchronization, plus active longitudes of spot clusters that probe inter-star magnetic interactions. Combining TESS photometry and radial velocities will measure eccentricities to probe tidal circularization. Our large, homogeneous sample will provide the strongest test to date of tidal evolution and magnetic activity in binaries.


# Sector 108 targets observed (2 min: 27, 20 s: 2)
64108432,39.8723,-20.0401,10.14,G09079;G09036;G09039
4672985,38.4708,-10.6575,10.99,G09079;G09036;G09039;G09123;20SECONDTARGET
382323697,29.4321,-11.514,11.58,G09079;G09036;G09039;G09123
268529700,14.489,-21.4195,10.07,G09079;G09036;G09039
268529943,14.4956,-19.83,11.02,G09079;G09036;G09039
178242590,59.1578,-18.2375,11.42,G09079;G09036;G09039
178352046,61.8233,-23.6451,11.11,G09079;G09036;G09039
279454212,58.4774,-16.9546,10.1,G09079;G09036;G09039
70887357,63.8578,-16.9022,8.65,G09079;G09036;G09039
88571421,48.8605,-24.2626,10.99,G09079;G09036;G09039
89045042,47.5945,-31.1265,8.86,G09079;G09036;G09039
13064883,75.8117,-25.3781,9.51,G09079;G09036;G09039
1449640,75.1716,-35.2027,11.92,G09079;G09036;G09039
170749770,68.245,-33.4968,10.71,G09079;G09036;G09039
24397947,81.6628,-34.6164,10.76,G09079;G09036;G09039
123573766,89.1216,-19.4931,12.06,G09079;G09036;G09039
124033255,91.7144,-19.8397,12.14,G09079;G09036;G09039
317330474,87.5079,-15.6002,10.64,G09079;G09036;G09039
46627823,85.1818,-17.5457,11.04,G09079;G09036;G09039
93334206,86.5201,-18.2985,11.63,G09079;G09036;G09039
172361463,99.6506,-25.5537,12.3,G09079;G09036;G09039
322900369,101.2064,-17.4335,8.79,G09079;G09036;G09039
172464366,100.1589,-27.5712,11.09,G09079;G09036;G09039
172742334,101.408,-26.7118,11.74,G09079;G09036;G09039
173038281,102.275,-27.3493,9.71,G09079;G09036;G09039;20SECONDTARGET
49701947,95.7976,-27.7292,10.99,G09079;G09036;G09039
96799506,105.1765,-30.7191,11.5,G09079;G09036;G09039
