TICID,RA,Dec,Tmag,Keywords
289840926,317.6296,-27.1815,13.31,G07103
289840928,317.6317,-27.1833,12.16,G07103;20SECONDTARGET
234284556,335.6663,-63.0578,11.89,G07089;G07103
425933644,3.6999,-60.0637,11.4,G07089;G07103
206544316,18.4194,-59.6599,11.63,G07089;G07103
234295610,357.9844,-64.7934,12.51,G07089;G07103
38820496,7.1969,-67.8628,13.3,G07089;G07103
425937691,5.3669,-63.8527,13.18,G07103
177309964,103.4526,-75.7037,13.1,G07089;G07140;G07036;G07103
294328887,108.9785,-59.3414,14.23,G07103
300651846,114.3667,-66.7573,13.49,G07140;G07036;G07103
306900946,122.5644,-66.2803,11.71,G07103
308991387,123.1593,-65.1211,14.3,G07103
349307342,109.5545,-60.3081,11.98,G07103
260268310,93.9258,-55.4281,14.82,G07103
