TICID,RA,Dec,Tmag,Keywords
114919247,314.9176,-40.2417,10.85,
114920034,314.9846,-41.7708,15.48,
114985772,315.2324,-41.5307,11.11,
115011683,315.6146,-38.5322,4.96,
115013365,315.5854,-41.7506,15.95,G07084;G07092;20SECONDTARGET
115014847,315.7347,-39.0969,6.67,
115015109,315.7412,-38.6322,4.91,G07031;20SECONDTARGET
115042458,315.8452,-38.472,16.75,
115108925,316.6345,-39.6005,15.06,G07092;20SECONDTARGET
115115380,316.7001,-40.3344,16.34,
115115870,316.7751,-41.4024,16.38,
115149033,316.8972,-38.112,15.03,
115175339,316.9777,-41.6374,5.58,
115175941,317.1384,-40.7911,15.68,
126584063,314.4118,-44.1363,5.94,
126637970,314.7409,-42.1879,15.94,
126659216,315.0967,-42.952,14.57,
126702890,315.5598,-42.887,16.77,
126746626,316.034,-47.961,5.99,
126765925,316.4203,-44.9492,5.99,
126803779,316.9977,-43.7808,13.41,
126818771,317.0795,-46.6015,16.79,
126874570,317.4337,-44.2099,5.56,
126893752,317.7493,-47.896,15.25,
126910743,317.9587,-43.6186,9.89,
129636548,321.1036,-41.0067,5.83,
129636999,321.0148,-40.0303,6.93,
129637892,321.115,-37.8502,9.03,G07066;20SECONDTARGET
129649472,321.5968,-37.8295,4.63,G07066;20SECONDTARGET
129680641,321.7743,-38.7525,11.77,
129683429,321.9015,-41.7557,16.28,G07160;20SECONDTARGET
139090254,319.392,-44.7429,11.97,
139112038,319.616,-43.3345,6.16,
139114943,319.8355,-47.0549,5.76,
139120863,320.0216,-42.6788,7.7,
144193687,327.6784,-43.6747,13.79,
144193715,327.7528,-43.5624,10.34,G07157;20SECONDTARGET
147112802,321.5587,-42.4584,10.28,
147112823,321.5079,-42.4145,15.29,G07092;20SECONDTARGET
147113185,321.7563,-42.5478,5.3,
147113919,321.6743,-44.5613,14.62,
147113992,321.758,-44.8073,6.69,
147113993,321.723,-44.8117,10.87,
147115112,321.7232,-47.9217,13.93,
147146907,322.3913,-44.6498,15.35,
147199754,322.9152,-42.0135,15.55,
147201138,322.9532,-45.0451,10.97,G07128;20SECONDTARGET
147204909,323.5058,-46.6111,5.98,
147206199,323.5712,-42.9247,5.41,
147207061,323.5943,-43.2753,12.74,
