TICID,RA,Dec,Tmag,Keywords
160708862,227.2703,-42.705,9.88,G08035;20SECONDTARGET
201604954,285.0965,-54.8935,11.97,G08035;20SECONDTARGET
446549906,286.7966,-58.6969,11.38,G08035;20SECONDTARGET
306648160,265.7603,-65.0083,10.66,G08035;20SECONDTARGET
231670397,319.9498,-58.149,9.86,G08035;20SECONDTARGET
401604346,313.6912,-72.8046,11.4,G08035;20SECONDTARGET
238176110,357.8473,-70.1529,11.04,G08035;20SECONDTARGET
281459670,5.6184,-59.9426,11.67,G08035;20SECONDTARGET
322307342,15.0062,-58.9047,11.78,G08035;20SECONDTARGET
100100827,24.3546,-45.6777,8.83,G08035;20SECONDTARGET
184240683,359.3491,-41.2773,11.55,G08035;20SECONDTARGET
402026209,353.563,-42.062,11.83,G08035;20SECONDTARGET
