TICID,RA,Dec,Tmag,Keywords
115241081,6.1813,-38.2421,14.31,G08046;G08137
115242296,6.5347,-36.9009,13.12,G08158
115242300,6.2702,-36.7713,10.26,G08158
115692512,7.0263,-36.7159,9.57,G08158
115692547,7.176,-37.0106,9.44,G08119
115693552,7.0994,-38.4819,13.39,G08158
115693579,7.0791,-37.5306,10.67,G08046;G08137
115694107,7.0386,-36.8757,16.82,G08002;G08062
116157661,7.6659,-38.1662,12.28,G08046;G08137;G08158
116880298,8.4313,-37.9816,11.22,G08009
116881415,8.6152,-36.6302,9.36,G08102
116882119,8.5035,-37.5753,16.62,G08046
117157988,8.9654,-35.8881,17.29,G08079
117396614,9.1908,-37.0125,16.82,G08046
117642971,9.7253,-39.2362,16.24,G08046
117874958,9.8982,-38.2887,11.51,G08137;G08158
117874959,9.9001,-38.2834,10.24,G08158
117875006,9.9643,-37.4083,8.39,G08101
117875969,10.0083,-38.9462,7.91,G08101
118115349,10.4475,-36.5525,13.06,G08046;G08137
118115567,10.2694,-37.1621,16.93,G08062;G08002
118327550,10.5692,-36.7178,10.35,G08145;G08140;20SECONDTARGET
118327563,10.7434,-38.1271,10.52,G08158;20SECONDTARGET
118586897,10.8029,-37.9835,7.26,G08119
118586990,10.8303,-36.5449,16.63,G08046
120488589,1.6897,-36.56,12.68,G08158
120490636,1.9357,-36.4006,16.16,G08146
120522786,2.7268,-37.5823,15.56,G08046
120563740,3.501,-36.5061,17.08,G08062;G08002
120565633,3.5955,-36.3117,15.19,G08046
120580052,4.0939,-36.4733,15.4,G08108
120606913,4.7836,-36.5687,12.73,G08119;G08119
120610833,5.238,-35.9986,11.5,G08035;20SECONDTARGET
149010208,3.3941,-31.3344,11.68,G08028;G08058;G08030
149010582,3.5311,-31.129,17.21,G08046
149010841,3.5607,-32.9795,10.49,G08119
149010844,3.573,-32.9887,12.01,G08119
149011679,3.7803,-32.3682,17.29,G08046
149011859,3.6519,-30.8819,16.02,G08046;G08158
149019616,4.0123,-30.9796,11.8,G08158
149020088,4.0935,-32.0133,16.15,G08046
149021009,4.236,-34.0392,15.98,G08046
149021654,4.4574,-30.3176,17.4,G08046
149021888,4.3825,-31.9256,14.34,G08046;G08137
149021953,4.3597,-32.4424,16.7,G08046
179284332,12.7908,-36.914,12.37,G08119
179284364,12.7159,-36.1603,14.39,G08033;G08046;G08137
179492666,13.176,-38.1387,7.97,G08082
179679367,13.361,-37.0064,16.34,G08046
179823272,13.5684,-36.5322,17.31,G08046
179824379,13.7581,-36.0918,12.04,G08119
179985566,13.8629,-37.5249,8.03,G08028;G08058;G08030
180145941,14.3332,-39.5272,8.79,G08101
180552219,15.3543,-36.837,10.94,G08119
180552220,15.3537,-36.8359,10.99,G08119
183535753,5.5662,-36.1273,13.96,G08158
183563027,11.2435,-37.5211,14.87,G08046
183563651,11.5052,-38.4026,15.83,G08108
183584658,12.2213,-37.2865,12.9,G08119
183584918,12.4031,-35.975,12.86,G08158
183586486,12.4993,-38.5772,16.87,G08046
246846390,5.2204,-27.4808,17.43,G08002;G08062
246846742,5.2997,-29.2726,17.02,G08046
246849519,5.6823,-26.995,16.11,G08046
246852736,6.097,-26.4953,14.58,G08046
246853154,6.078,-28.9806,8.03,G08102;G08046
246853254,6.1003,-29.6628,11.95,G08119
246854127,6.375,-28.5738,11.28,G08158
246854655,6.4939,-28.2735,8.27,G08082
246858227,6.8938,-26.9535,13.65,G08158
246860755,7.1105,-29.2851,6.62,G08158
246861224,7.2297,-27.559,12.49,G08158
246862048,7.4478,-28.5982,16.74,G08002;G08062
246862277,7.4511,-27.3001,12.79,G08158
246862284,7.4898,-27.2456,9.12,G08158
246883462,7.9646,-27.7543,11.6,G08119
246883464,7.9626,-27.7552,11.96,G08119
246889145,8.6248,-28.2038,14.96,G08046
246889178,8.6039,-28.0061,14.09,G08046
246894470,9.1793,-27.4194,7.58,G08119
246895232,9.308,-28.2475,17.14,G08002;G08062
251821926,5.3882,-35.3603,8.05,G08082
251822532,5.3582,-32.0908,15.69,G08046
251825497,5.9074,-33.4961,15.71,G08146
251828017,6.1985,-31.4268,17.18,G08046
251828744,6.3232,-32.7078,9.54,G08158
251829019,6.4257,-34.1302,15.55,G08046
251839801,6.5787,-32.2268,16.72,G08046
251840507,6.5952,-31.1343,9.25,G08158
251841935,6.7653,-32.9278,16.95,G08046
251842338,6.8113,-30.6548,14.31,G08046;G08137
251845042,6.9078,-31.9567,9.15,G08119
251845044,6.9078,-31.9581,9.67,G08119
251845153,6.9603,-32.5521,10.44,G08137;G08158
251845156,6.9608,-32.557,10.62,G08137;G08158
251845898,7.0586,-35.4039,16.49,G08002;G08062
251846450,7.0608,-32.4658,12.01,G08046;G08158;G08137
251847100,7.2143,-30.9166,10.08,G08119
251847101,7.2329,-30.9306,10.63,G08119
251847688,7.1904,-34.3252,17.29,G08046
251848434,7.3358,-33.4677,12.17,G08046;G08137
251848475,7.2863,-33.2286,16.38,G08046
251848612,7.3066,-32.4436,9.67,G08119;G08119
251848941,7.3026,-30.4544,10.42,G08041;G08140;20SECONDTARGET
251849906,7.8365,-34.6857,12.56,G08119
251853136,8.1932,-31.2412,11.49,G08158
251853890,8.3688,-32.755,17.04,G08046
251854157,8.3394,-34.3011,11.73,G08119
251854659,8.5336,-34.7649,10.02,G08046;G08137
251854734,8.4992,-34.299,16.63,G08046
251857599,8.7584,-30.0825,10.97,G08158
251857976,8.8877,-31.9584,14.91,G08046;G08137
251858966,9.0988,-34.1198,11.9,G08009
251859233,8.9798,-32.4975,16.62,G08046
251859518,8.9704,-30.9787,11.32,G08119;G08119
251860448,9.2043,-33.9747,15.68,G08046
251875388,9.3397,-33.7003,16.57,G08046
251875520,9.3767,-32.9333,10.09,G08119
251875523,9.3749,-32.9322,12.01,G08119
251875565,9.2918,-32.6965,16.57,G08046
251875733,9.2715,-31.6969,9.53,G08046;G08137
251876821,9.4864,-34.5106,14.35,G08046;G08137
251877793,9.6626,-31.7869,15.18,G08046
251879165,9.7973,-35.8316,16.72,G08046
251879885,9.8528,-31.8291,13.71,G08158
251879914,9.9354,-31.6663,12.9,G08158
251881167,9.9798,-35.5827,15.86,G08046
